feature,importance,mean_impact
market_index_1,0.09935369445835034,0.09715564219532251
market_index_0,0.08699868636463112,0.08679956328371505
market_index_1_rolling_mean_5,0.03753416253309937,0.03737823678529904
technical_5,0.033487795058951275,-7.239976894024845e-05
market_index_4_rolling_mean_10,0.012785114448433754,0.012785114448433738
volatility_0,0.01173653503237207,-8.355238363480923e-05
market_index_0_rolling_mean_10,0.009660498965226584,0.009487947324465876
market_index_8_lag_1,0.007050085883524756,0.006988950500745638
market_index_9_lag_5,0.005718172706091815,0.00571427169193337
market_index_4_rolling_mean_5,0.005650460657004202,0.005650460657004206
